source,brand,title,price,url,image_url,tags,sales_volume,raw_data,total_count,unit_price
PChome,五國專利,五國專利300億ABC益生菌 30包/盒X2,1899,https://24h.pchome.com.tw/prod/DBCC22-A900I18IH,https://cs-a.ecimg.tw/items/DBCC22A900I18IH/000001_1737018017.jpg,,0,五國專利300億ABC益生菌 30包/盒X2,,0.0
PChome,歐敏力 ,歐敏力 熊貓益生菌30包/盒,1880,https://24h.pchome.com.tw/prod/DBCC22-A900IIR0C,https://cs-a.ecimg.tw/items/DBCC22A900IIR0C/000001_1749054587.jpg,,0,歐敏力 熊貓益生菌30包/盒,,0.0
PChome,日本,【日本】晶球益生菌長益菌50+10加強保健(30條/盒),1190,https://24h.pchome.com.tw/prod/QEAB6M-A9005U1BP,https://cs-a.ecimg.tw/items/QEAB6MA9005U1BP/000001_1735634663.jpg,,0,【日本】晶球益生菌長益菌50+10加強保健(30條/盒),,0.0
PChome,1000,1000億益生菌粉包(2gx30包),1320,https://24h.pchome.com.tw/prod/DBDF08-A900ICAGU,https://cs-a.ecimg.tw/items/DBDF08A900ICAGU/000001_1758074783.jpg,,0,1000億益生菌粉包(2gx30包),,0.0
PChome,優倍多Y,優倍多YouBest  蔓越莓益生菌 30包/盒,629,https://24h.pchome.com.tw/prod/DBADDP-A900BE3G8,https://cs-a.ecimg.tw/items/DBADDPA900BE3G8/000001_1739170155.jpg,,0,優倍多YouBest  蔓越莓益生菌 30包/盒,,0.0
PChome,日本,【日本】晶球益生菌長益菌50+10加強保健(14條/盒),580,https://24h.pchome.com.tw/prod/DBBA14-A9005TG7N,https://cs-a.ecimg.tw/items/DBBA14A9005TG7N/000001_1767326069.jpg,,0,【日本】晶球益生菌長益菌50+10加強保健(14條/盒),,0.0
PChome,舒暢益生,舒暢益生菌(30包入/盒) 5盒/組,2085,https://24h.pchome.com.tw/prod/DBAUEU-1900AUPN0,https://cs-a.ecimg.tw/items/DBAUEU1900AUPN0/000001_1740623581.jpg,,0,舒暢益生菌(30包入/盒) 5盒/組,,0.0
PChome,健常八益,健常八益菌益生菌膠囊(80粒/瓶),560,https://24h.pchome.com.tw/prod/DBBB0G-A9009FFQX,https://cs-a.ecimg.tw/items/DBBB0GA9009FFQX/000001_1764565946.jpg,💊膠囊,0,健常八益菌益生菌膠囊(80粒/瓶),80.0,7.0
PChome,兒童 初,兒童 初乳益生菌粉EX 柳橙口味 (2g/包30包/盒)2盒組,1290,https://24h.pchome.com.tw/prod/DBAD0F-A900BXBLM,https://cs-a.ecimg.tw/items/DBAD0FA900BXBLM/000001_1730445158.jpg,,0,兒童 初乳益生菌粉EX 柳橙口味 (2g/包30包/盒)2盒組,,0.0
PChome,紅萃蔓越,紅萃蔓越莓益生菌錠 (30粒/袋)6袋組,1590,https://24h.pchome.com.tw/prod/DBAX6Q-A900FU1IY,https://cs-a.ecimg.tw/items/DBAX6QA900FU1IY/000001_1758506031.jpg,,0,紅萃蔓越莓益生菌錠 (30粒/袋)6袋組,30.0,53.0
